算法名,参数名,类型,最小值,最大值,最少选择,最多选择,依赖于
Unarylinear,plan*,float,0,,,,planflag*
UnarylinearTime,plan*,float,0,,,,planflag*
Binarylinear,econamelist,multioption,,,2,2,
Binarylinear,plan1*,float,0,,,,
Binarylinear,plan2*,float,0,,,,
LogarithmTime,plan*,float,0,,,,planflag*
Logarithm,plan*,float,0,,,,planflag*
GrowthTime,plan*,float,0,,,,planflag*
Growth,plan*,float,0,,,,planflag*
Exponent,plan*,float,0,,,,planflag*
ExponentTime,plan*,float,0,,,,planflag*
ESQRM,quatile,float,0,1,,,
ESQRM,econamelist,multioption,,,1,5,
QuantileRegression,quatile,float,0,1,,,
QuantileRegression,econamelist,multioption,,,1,5,
BPNN,hidden*,list-int,1,,1,,
BPNN,learningrate*,float,1E-10,0.1,,,
BPNN,epoch*,int,500,,,,
BPNNindustry,hidden*,list-int,1,,1,,
BPNNindustry,learningrate*,float,1E-10,0.1,,,
BPNNindustry,epoch*,int,500,,,,
FER,timestep*,int,2,,,,
FLR,timestep*,int,2,,,,
GBDT,timestep,int,2,,,,
GBDT,LearningRate*,float,1E-10,0.5,,,
GBDT,MaxDepth*,int,1,,,,
GBDT,NumberofEstimators*,int,10,,,,
GM,timestep*,int,2,,,,
GPRM,timestep*,int,2,,,,
Increase,rate,float,0,,,,
LSTMpre,hidden_layer*,int,1,,,,
LSTMpre,learningrate*,float,1E-10,0.1,,,
LSTMpre,epoch*,int,500,,,,
LSTMpre,timestep,int,2,,,,
LSTMpre,hidden_size*,int,4,,,,
RandomForest,timestep,int,2,,,,
RandomForest,n_estimators*,int,5,,,,
RFIndustry,timestep*,int,2,,,,
RFIndustry,n_estimators*,int,5,,,,
RNNpre,hidden_layer*,int,1,,,,
RNNpre,learningrate*,float,1E-10,0.1,,,
RNNpre,epoch*,int,500,,,,
RNNpre,timestep,int,2,,,,
RNNpre,hidden_size,int,4,,,,
SVM,timestep,int,2,,,,